# E [MeV]   xs [mb]  yerr [mb]
10.0    0.05    0.01
10.2    0.11    0.02
10.6    0.09    0.04
11.2    0.07    0.01
12.0    0.15    0.02
13.0    0.64    0.09
14.0    1.61    0.21
15.0    4.44    0.57
16.0    9.00    1.13
17.0    15.48   1.95
18.0    16.24   2.04
19.0    15.21   1.91
